,Identifier,SEDOL,PriceDate,Close,Close_crawler,Pricedate_crawler
258,R.N,2760669,7/11/2019 0:00,54.39,54.39,07/14/2019 18:27
259,QUB.AX,B1L4BC6,7/11/2019 0:00,3.09,3.09,07/14/2019 18:27
260,9104.T,6597584,7/11/2019 0:00,2667.0,2667,07/14/2019 18:27
261,RMG.L,BDVZYZ7,7/11/2019 0:00,2.1319999999999997,213.20,07/14/2019 18:27
262,MSFT.OQ,2588173,7/11/2019 0:00,138.4,138.40,07/14/2019 18:27
263,GOOGL.O,BYVY8G0,7/11/2019 0:00,1144.08,1144.08,07/14/2019 18:27
264,CSCO.OQ,2198163,7/11/2019 0:00,57.3,57.30,07/14/2019 18:27
265,005930.KS,6771720,7/11/2019 0:00,46200.0,46200.00,07/14/2019 18:27
266,IBM.N,2005973,7/11/2019 0:00,141.24,141.24,07/14/2019 18:27
267,NVDA.OQ,2379504,7/11/2019 0:00,166.28,166.28,07/14/2019 18:27
268,ADSK.OQ,2065159,7/11/2019 0:00,173.33,173.33,07/14/2019 18:27
269,HPQ.N,BYX4D52,7/11/2019 0:00,20.85,20.85,07/14/2019 18:27
270,NXPI.OQ,B505PN7,7/11/2019 0:00,94.12,94.12,07/14/2019 18:27
271,IFXGn.DE,5889505,7/11/2019 0:00,15.925999999999998,15.93,07/14/2019 18:27
272,DAST.PA,5330047,7/11/2019 0:00,140.3,140.30,07/14/2019 18:27
273,HPE.N,BYVYWS0,7/11/2019 0:00,14.6,14.60,07/14/2019 18:27
274,WLSNc.AS,5671519,7/11/2019 0:00,63.96,63.96,07/14/2019 18:27
275,6752.T,6572707,7/11/2019 0:00,925.0,925,07/14/2019 18:27
276,ANSS.OQ,2045623,7/11/2019 0:00,211.3,211.30,07/14/2019 18:27
277,MRVL.OQ,2594653,7/11/2019 0:00,24.89,24.89,07/14/2019 18:27
278,TEAM.OQ,BZ09BD1,7/11/2019 0:00,140.9,140.90,07/14/2019 18:27
279,6702.T,6356945,7/11/2019 0:00,7758.0,7758,07/14/2019 18:27
280,TRMB.OQ,2903958,7/11/2019 0:00,43.91,43.91,07/14/2019 18:27
281,OTEX.TO,2260824,7/11/2019 0:00,56.03,56.03,07/14/2019 18:27
282,GRMN.OQ,B3Z5T14,7/11/2019 0:00,78.99,78.99,07/14/2019 18:27
283,CY.O,2244549,7/11/2019 0:00,22.44,22.44,07/14/2019 18:27
284,ATOS.PA,5654781,7/11/2019 0:00,76.98,76.98,07/14/2019 18:27
285,COUP.O,BD87XR1,7/11/2019 0:00,135.14,135.14,07/14/2019 18:27
286,AUTOA.L,BVYVFW2,7/11/2019 0:00,5.572,557.20,07/14/2019 18:27
287,018260.KS,BRS2KY0,7/11/2019 0:00,214500.0,214500.00,07/14/2019 18:27
288,NATI.OQ,2645078,7/11/2019 0:00,42.57,42.57,07/14/2019 18:27
289,AYX.N,BYWMQJ2,7/11/2019 0:00,114.51,114.51,07/14/2019 18:27
290,FLEX.OQ,2353058,7/11/2019 0:00,9.58,9.58,07/14/2019 18:27
291,NUAN.OQ,2402121,7/11/2019 0:00,16.25,16.25,07/14/2019 18:27
292,BB.TO,BCBHZ31,7/11/2019 0:00,9.27,9.27,07/14/2019 18:27
293,V.N,B2PZN04,7/11/2019 0:00,180.74,180.74,07/14/2019 18:27
294,MA.N,B121557,7/11/2019 0:00,278.32,278.32,07/14/2019 18:27
295,PYPL.OQ,BYW36M8,7/11/2019 0:00,120.65,120.65,07/14/2019 18:27
296,AXP.N,2026082,7/11/2019 0:00,127.28,127.28,07/14/2019 18:27
297,SPGI.N,BYV2325,7/11/2019 0:00,238.44,238.44,07/14/2019 18:27
298,COF.N,2654461,7/11/2019 0:00,90.71,90.71,07/14/2019 18:27
299,FIS.N,2769796,7/11/2019 0:00,127.82,127.82,07/14/2019 18:27
300,WP.N,BF8D8T0,7/11/2019 0:00,129.27,129.27,07/14/2019 18:27
301,FISV.OQ,2342034,7/11/2019 0:00,93.69,93.69,07/14/2019 18:27
302,TRI.TO,BFXPTB0,7/11/2019 0:00,87.27,87.27,07/14/2019 18:27
303,DFS.N,B1YLC43,7/11/2019 0:00,80.59,80.59,07/14/2019 18:27
304,GPN.N,2712013,7/11/2019 0:00,164.13,164.13,07/14/2019 18:27
305,FLT.N,B4R28B3,7/11/2019 0:00,293.39,293.39,07/14/2019 18:27
306,SYF.N,BP96PS6,7/11/2019 0:00,35.64,35.64,07/14/2019 18:27
307,ADYEN.AS,BZ1HM42,7/11/2019 0:00,677.0,677.00,07/14/2019 18:27
308,TSS.N,2897697,7/11/2019 0:00,132.06,132.06,07/14/2019 18:27
309,WDIG.DE,7508927,7/11/2019 0:00,146.3,146.30,07/14/2019 18:27
310,MSCI.N,B2972D2,7/11/2019 0:00,240.28,240.28,07/14/2019 18:27
311,FDC.N,BYX3ZN1,7/11/2019 0:00,27.72,27.72,07/14/2019 18:27
312,SSNC.OQ,B58YSC6,7/11/2019 0:00,58.39,58.39,07/14/2019 18:27
313,WLN.PA,BNFWR44,7/11/2019 0:00,63.1,63.10,07/14/2019 18:27
314,TEMN.S,7147892,7/11/2019 0:00,175.0,175.00,07/14/2019 18:27
315,EDEN.PA,B62G1B5,7/11/2019 0:00,44.72,44.72,07/14/2019 18:27
316,4307.T,6390921,7/11/2019 0:00,1789.0,1789,07/14/2019 18:27
317,ZBRA.OQ,2989356,7/11/2019 0:00,195.01,195.01,07/14/2019 18:27
318,FDS.N,2329770,7/11/2019 0:00,294.47,294.47,07/14/2019 18:27
319,JKHY.OQ,2469193,7/11/2019 0:00,138.89,138.89,07/14/2019 18:27
320,FICO.N,2330299,7/11/2019 0:00,345.74,345.74,07/14/2019 18:27
321,BKI.N,BDG75V1,7/11/2019 0:00,61.89,61.89,07/14/2019 18:27
322,WEX.N,B8383P2,7/11/2019 0:00,216.5,216.50,07/14/2019 18:27
323,EEFT.OQ,2320148,7/11/2019 0:00,169.36,169.36,07/14/2019 18:27
324,GWRE.N,B7JYSG3,7/11/2019 0:00,101.36,101.36,07/14/2019 18:27
325,ADS.N,2762030,7/11/2019 0:00,147.97,147.97,07/14/2019 18:27
326,Z.OQ,BYXJF62,7/11/2019 0:00,49.01,49.01,07/14/2019 18:27
327,PAGS.N,BFWK4R7,7/11/2019 0:00,42.93,42.93,07/14/2019 18:27
328,MORN.OQ,B081VR8,7/11/2019 0:00,151.01,151.01,07/14/2019 18:27
329,RMV.L,BGDT3G2,7/11/2019 0:00,5.273,527.30,07/14/2019 18:27
330,XRO.AX,B8P4LP4,7/11/2019 0:00,63.96,63.96,07/14/2019 18:27
331,G24n.DE,BYT9340,7/11/2019 0:00,49.06,49.06,07/14/2019 18:27
332,INGC.PA,4196897,7/11/2019 0:00,77.12,77.12,07/14/2019 18:27
333,AVLR.N,BZ1NVP4,7/11/2019 0:00,83.84,83.84,07/14/2019 18:27
334,3769.T,B06CMQ9,7/11/2019 0:00,7130.0,7130,07/14/2019 18:27
335,CIEL3.SA,B614LY3,7/11/2019 0:00,7.46,7.46,07/14/2019 18:27
336,STNE.OQ,BGKG6M3,7/11/2019 0:00,34.87,34.87,07/14/2019 18:27
337,ORCL.BO,6528443,7/11/2019 0:00,3283.1,3283.10,07/14/2019 18:27
338,SIM.CO,BBCR9N1,7/11/2019 0:00,615.0,.615.00,07/14/2019 18:27
339,029780.KS,B1WQQ48,7/11/2019 0:00,37300.0,37300.00,07/14/2019 18:27
340,ACIW.OQ,2889155,7/11/2019 0:00,34.35,34.35,07/14/2019 18:27
341,KTC.BK,BF2LWS7,7/11/2019 0:00,41.5,41.50,07/14/2019 18:27
342,8570.T,6037734,7/11/2019 0:00,1785.0,1785,07/14/2019 18:27
343,QTWO.N,BKM4KV0,7/11/2019 0:00,79.81,79.81,07/14/2019 18:27
344,ENV.N,B474ZK7,7/11/2019 0:00,71.08,71.08,07/14/2019 18:27
345,BL.OQ,BD3WZS6,7/11/2019 0:00,49.32,49.32,07/14/2019 18:27
346,MONY.L,B1ZBKY8,7/11/2019 0:00,4.091,409.10,07/14/2019 18:27
347,GDOT.N,B3WNNP3,7/11/2019 0:00,48.64,48.64,07/14/2019 18:27
348,EVTC.N,B7KY3Z6,7/11/2019 0:00,33.15,33.15,07/14/2019 18:27
349,8253.T,6591809,7/11/2019 0:00,1319.0,1319,07/14/2019 18:27
350,WK.N,BSS6HY8,7/11/2019 0:00,61.22,61.22,07/14/2019 18:27
