ExDate,IdentifierMappingID,EventType,EventCurrency,LocalCurrency,EventAmount,OfferPrice,TermOldShares,TermNewShares,SpunOffStock,SpunOffCash,BuybackShares,PriceExT1,FxExT1,PayDate,PayDatePrice,PayDatePriceT1,PayDateFx,PayDateFxT1,FrankingPercent,IncomePercent,WHTType,REIT,Comments,TaxRate
5/6/2019,36,Cash Dividend,DK,DK,5,\N,\N,\N,\N,\N,0,705.6,1,5/8/2019,\N,726.2,\N,1,0,0,Flat,0,\N,\N
2/25/2019,36,Buyback,\N,DK,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
10/22/2018,37,Buyback,\N,EU,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
1/30/2019,37,Buyback,\N,EU,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/7/2018,38,Cash Dividend,EU,EU,1.3,\N,\N,\N,\N,\N,0,24.22,1,5/9/2018,\N,23.01,\N,1,0,0,Flat,0,\N,\N
5/14/2019,38,Cash Dividend,EU,EU,1.3,\N,\N,\N,\N,\N,0,23.56,1,5/16/2019,\N,22.34,\N,1,0,0,Standard,0,\N,0
7/1/2018,38,Buyback,\N,EU,\N,\N,\N,\N,\N,\N,11838550,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/10/2019,38,Buyback,\N,EU,\N,\N,\N,\N,\N,\N,12546862,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/7/2018,39,Cash Dividend,EU,EU,2,\N,\N,\N,\N,\N,0,71.92,1,5/9/2018,\N,70.7,\N,1,0,0,Custom,0,\N,83
11/14/2018,39,Cash Dividend,EU,EU,1,\N,\N,\N,\N,\N,0,61.42,1,11/16/2018,\N,62.3,\N,1,0,0,Flat,0,\N,\N
5/7/2019,39,Cash Dividend,EU,EU,2.5,\N,\N,\N,\N,\N,0,64.52,1,5/9/2019,\N,61.3,\N,1,0,0,Standard,0,\N,0
5/22/2018,39,Buyback,\N,EU,\N,\N,\N,\N,\N,\N,2700000,\N,\N,\N,\N,\N,\N,\N,0,0,\N,\N,\N,\N
5/7/2018,40,Cash Dividend,US,US,0.5,\N,\N,\N,\N,\N,0,152.54,1,5/29/2018,\N,149.99,\N,1,0,0,Custom,0,\N,67
